epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47164,1.11462,2.3635,1.4595,0.62085,0.87533,0.88792,0.62107,1.3979,1.32772,1.25353,0,0,0
2,10.6618,0.88979,2.21644,1.2719,0.56295,0.83333,0.87409,0.61245,1.41576,1.34887,1.26208,1.07219e-06,1.07219e-06,1.07219e-06
3,15.9113,0.91254,1.92961,1.24917,0.56184,0.83333,0.87408,0.61094,1.44277,1.37638,1.2729,1.90876e-06,1.90876e-06,1.90876e-06
4,20.9738,1.1538,2.37031,1.49225,0.54305,0.83333,0.87267,0.61905,1.46505,1.40388,1.28264,2.50971e-06,2.50971e-06,2.50971e-06
5,26.0434,0.83127,1.69828,1.12308,0.54305,0.83333,0.87267,0.61905,1.46505,1.40388,1.28264,2.87504e-06,2.87504e-06,2.87504e-06
6,31.1196,1.00241,1.88674,1.38057,0.63777,0.75,0.88512,0.5967,1.49315,1.48297,1.29239,3.00475e-06,3.00475e-06,3.00475e-06
7,36.2844,0.8394,2.30703,1.25943,0.63777,0.75,0.88512,0.5967,1.49315,1.48297,1.29239,2.89884e-06,2.89884e-06,2.89884e-06
8,41.3983,0.79339,1.78628,1.22716,0.91805,0.56513,0.80325,0.5793,1.51548,1.60463,1.31914,2.55731e-06,2.55731e-06,2.55731e-06
9,46.4924,0.88432,3.27704,1.31451,0.91805,0.56513,0.80325,0.5793,1.51548,1.60463,1.31914,1.98016e-06,1.98016e-06,1.98016e-06
10,51.5424,0.94932,2.19432,1.30859,0.91157,0.56667,0.74701,0.5841,1.53591,1.62802,1.32188,1.16739e-06,1.16739e-06,1.16739e-06
